timestamp,open,high,low,close,volume
1757048400000,111493.31000000,111690.45000000,111192.77000000,111367.99000000,0.01389000
1757052000000,111678.69000000,111849.50000000,111381.99000000,111849.50000000,0.21020000
1757055600000,111916.14000000,112948.97000000,111560.92000000,112938.71000000,0.81226000
1757059200000,112937.88000000,112937.88000000,112405.67000000,112633.09000000,0.01909000
1757062800000,112414.27000000,112594.41000000,112108.54000000,112114.72000000,0.04639000
1757066400000,112376.76000000,112576.33000000,112127.53000000,112139.58000000,0.04653000
1757070000000,112431.20000000,112431.20000000,112108.21000000,112342.80000000,0.01319000
1757073600000,112515.39000000,113294.17000000,112083.27000000,112977.57000000,0.43544000
1757077200000,113004.23000000,113290.68000000,112588.48000000,113227.95000000,0.13814000
1757080800000,112862.34000000,113206.60000000,108669.97000000,110877.23000000,1.01311000
1757084400000,110532.62000000,111018.02000000,110279.75000000,110983.37000000,0.50164000
1757088000000,110674.65000000,110933.73000000,110470.97000000,110924.32000000,0.19422000
1757091600000,110923.92000000,110923.92000000,110199.72000000,110243.56000000,0.26107000
1757095200000,110244.10000000,111244.83000000,110244.10000000,111243.85000000,0.13527000
1757098800000,111242.24000000,111514.87000000,111073.90000000,111224.71000000,0.10498000
1757102400000,111529.94000000,111606.81000000,111238.88000000,111606.40000000,0.02390000
1757106000000,111605.41000000,111690.48000000,110566.39000000,110652.50000000,0.16283000
1757109600000,110953.53000000,110953.62000000,110583.72000000,110871.05000000,0.06526000
1757113200000,110869.48000000,110869.48000000,110550.30000000,110576.38000000,0.10794000
1757116800000,110583.53000000,110839.46000000,110577.97000000,110835.46000000,0.14318000
1757120400000,110834.80000000,110930.95000000,110601.96000000,110930.95000000,0.07749000
1757124000000,110929.35000000,111177.64000000,110649.07000000,111177.64000000,0.07350000
1757127600000,111227.84000000,111227.84000000,110834.62000000,111211.34000000,0.01578000
1757131200000,111185.70000000,111185.71000000,110772.71000000,110796.55000000,0.08346000
1757134800000,110800.77000000,110979.01000000,110614.77000000,110759.52000000,0.11499000
1757138400000,110758.81000000,110814.50000000,110643.85000000,110801.67000000,0.00395000
1757142000000,110800.29000000,110849.47000000,110650.04000000,110846.86000000,0.00940000
1757145600000,110846.30000000,110887.28000000,110680.28000000,110728.28000000,0.02017000
1757149200000,110740.34000000,110928.38000000,110740.34000000,110762.71000000,0.01639000
1757152800000,110652.12000000,110869.02000000,110652.12000000,110804.35000000,0.04642000
1757156400000,110801.00000000,110861.76000000,110614.76000000,110861.76000000,0.08012000
1757160000000,110649.37000000,110893.03000000,110649.36000000,110890.31000000,0.01361000
1757163600000,110887.38000000,111008.65000000,110740.61000000,110925.01000000,0.10924000
1757167200000,110960.00000000,110960.02000000,110901.51000000,110932.66000000,1.07904000
1757170800000,110926.46000000,110926.46000000,110345.46000000,110563.83000000,0.32200000
1757174400000,110355.56000000,110562.51000000,110035.77000000,110345.57000000,0.23335000
1757178000000,110345.46000000,110345.46000000,110023.53000000,110145.00000000,0.22242000
1757181600000,110144.89000000,110299.76000000,110078.10000000,110281.98000000,0.21966000
1757185200000,110281.33000000,110281.33000000,110041.17000000,110174.57000000,0.17563000
1757188800000,110168.62000000,110198.77000000,109729.00000000,110191.27000000,2.25515000
1757192400000,110183.55000000,110199.96000000,110036.51000000,110190.73000000,0.59634000
1757196000000,110199.98000000,110275.64000000,110066.39000000,110221.60000000,0.11923000
1757199600000,110217.26000000,110298.34000000,110084.28000000,110129.22000000,0.12858000
1757203200000,110231.53000000,110449.48000000,110013.17000000,110345.68000000,0.59462000
1757206800000,110444.82000000,110566.39000000,110118.98000000,110566.39000000,0.03871000
1757210400000,110567.67000000,110729.23000000,110315.00000000,110728.18000000,0.11710000
1757214000000,110726.90000000,110726.90000000,110477.62000000,110681.21000000,0.11416000
1757217600000,110680.08000000,110680.08000000,110403.91000000,110567.87000000,0.01948000
1757221200000,110567.28000000,110700.00000000,110436.48000000,110699.18000000,0.01554000
1757224800000,110522.69000000,110693.49000000,110413.81000000,110413.81000000,0.08699000
1757228400000,110626.72000000,110908.03000000,110421.46000000,110558.10000000,0.02676000
1757232000000,110884.46000000,111394.89000000,110601.51000000,110979.44000000,0.03398000
1757235600000,111299.14000000,111299.14000000,110755.94000000,111180.22000000,0.03326000
1757239200000,111172.45000000,111188.84000000,110937.06000000,111188.80000000,0.02954000
1757242800000,111188.80000000,111362.12000000,110996.94000000,111312.76000000,0.03852000
1757246400000,111312.53000000,111312.53000000,111100.99000000,111220.42000000,0.03771000
1757250000000,111216.26000000,111338.47000000,110994.34000000,111317.00000000,0.02564000
1757253600000,111314.82000000,111405.63000000,111073.90000000,111089.72000000,0.14408000
1757257200000,111090.70000000,111337.29000000,111090.70000000,111171.74000000,0.02670000
1757260800000,111172.12000000,111364.92000000,111076.29000000,111090.30000000,0.11309000
1757264400000,111223.85000000,111228.00000000,110929.50000000,110947.85000000,0.08061000
1757268000000,111114.36000000,111114.36000000,110819.27000000,110819.27000000,0.04958000
1757271600000,111099.01000000,111297.96000000,110852.95000000,111293.60000000,0.06363000
1757275200000,111293.31000000,111299.71000000,111132.79000000,111281.18000000,0.14134000
1757278800000,111144.77000000,111281.18000000,111048.19000000,111140.18000000,0.07882000
1757282400000,111139.82000000,111299.19000000,110946.00000000,111295.48000000,1.14023000
1757286000000,111293.63000000,111567.87000000,111079.06000000,111489.92000000,0.31207000
1757289600000,111079.43000000,111461.79000000,110815.77000000,110815.99000000,0.04553000
1757293200000,110815.68000000,111135.36000000,110737.43000000,110994.71000000,0.21499000
1757296800000,110993.23000000,111340.66000000,110708.95000000,111269.27000000,0.20232000
1757300400000,111291.41000000,111412.63000000,110990.43000000,111026.21000000,0.31980000
